year,name,artists,acousticness,danceability,energy,liveness,speechiness,weight
2010,El Ritmo No Perdona - Bonus Track,['Daddy Yankee'],0.0625,0.769,0.923,0.12,0.0968,0
2010,Yesterday (feat. Trey Songz) - Toni/Trey Version,"['Toni Braxton', 'Trey Songz']",0.182,0.436,0.679,0.304,0.0435,0
2010,"The Nutcracker - Ballet, Op.71, Act II, No. 12 - Divertissement:: Chocolate: Spanish Dance","['Pyotr Ilyich Tchaikovsky', 'Sir Simon Rattle', 'Berliner Philharmoniker']",0.583,0.396,0.294,0.142,0.041,0
2010,Hoy Lo Siento,"['Zion & Lennox', 'Tony Dize']",0.0746,0.771,0.784,0.0555,0.0928,0
2010,Estilo Especial,['Régulo Caro'],0.48,0.519,0.897,0.233,0.111,0
2010,A Cold Freezin' Night,['The Books'],0.409,0.688,0.816,0.338,0.259,0
2010,Lay Your Hands On Me,['Bon Jovi'],0.177,0.332,0.967,0.308,0.0679,0
2010,You and I (Park Bom),['2NE1'],0.018,0.66,0.784,0.0844,0.0514,0
2010,Tu Angelito,['Chino & Nacho'],0.382,0.834,0.868,0.203,0.0415,0
2010,Cornbread and Butterbeans,['Carolina Chocolate Drops'],0.853,0.67,0.454,0.119,0.0367,0
2010,Hello World,['Lady A'],0.0555,0.427,0.531,0.0835,0.0297,0
2010,Eres Rey de los Cielos,['Marco Barrientos'],0.243,0.598,0.494,0.708,0.0264,0
2010,Mírame,['Daddy Yankee'],0.19,0.794,0.749,0.11,0.101,0
2010,Drop It Low feat Ester Dean,['Lil Wayne'],0.0248,0.619,0.674,0.0972,0.395,0
2010,Love Is Not Enough,['Yelawolf'],0.174,0.836,0.547,0.125,0.205,0
2010,Whoop A Man's Ass,['Trace Adkins'],0.00306,0.529,0.933,0.0953,0.0719,0
2010,The Sky Under the Sea,['Pierce The Veil'],0.000133,0.36,0.968,0.397,0.142,0
2010,Stand by Him,['Ghost'],0.112,0.56,0.902,0.101,0.0463,0
2010,La Cumbia Rebaja,['Aniceto Molina'],0.126,0.69,0.828,0.0539,0.0478,0
2010,Y la Felicidad Qué,['Canserbero'],0.434,0.72,0.827,0.263,0.384,0
2010,Holidays (feat. Alan Palomo),"['Miami Horror', 'Alan Palomo']",0.103,0.667,0.926,0.229,0.0526,0
2010,"You're Only Second Rate - From ""The Return of Jafar""",['Jonathan Freeman'],0.575,0.479,0.7,0.29,0.366,0
2010,Song for Dan Treacy,['MGMT'],0.00314,0.453,0.977,0.106,0.102,0
2010,Faithfully (Glee Cast Version),['Glee Cast'],0.144,0.412,0.54,0.111,0.0289,0
2010,Bricksquad (feat. Gudda Gudda),"['Waka Flocka Flame', 'Gudda Gudda']",0.0169,0.676,0.681,0.241,0.188,0
2010,Make It Without You,['Andrew Belle'],0.92,0.456,0.205,0.149,0.0313,0
2010,El Cero Dos,['Los Alegres Del Barranco'],0.313,0.869,0.818,0.0637,0.0761,0
2010,Billionaire (feat. Bruno Mars) - Acoustic Version,['Travie McCoy'],0.794,0.687,0.542,0.0822,0.15,0
